movie,actor,rank,studio,bday,male,release_date,production_budget,domestic_gross,worldwide_gross
(500) Days of Summer,Chloe Moretz,11,FoxS,1997-02-10,0.0,2009-07-17,7500000.0,32391374.0,59101642.0
(500) Days of Summer,Clark Gregg,7,FoxS,1962-04-02,1.0,2009-07-17,7500000.0,32391374.0,59101642.0
(500) Days of Summer,Minka Kelly,-,FoxS,1980-06-24,0.0,2009-07-17,7500000.0,32391374.0,59101642.0
(500) Days of Summer,Zooey Deschanel,10,FoxS,1980-01-17,0.0,2009-07-17,7500000.0,32391374.0,59101642.0
10 Cloverfield Lane,Mary Elizabeth Winstead,4,Par.,1984-11-28,0.0,2016-03-11,5000000.0,69793284.0,101493284.0
102 Dalmatians,Glenn Close,7,BV,1947-03-19,0.0,2000-11-22,85000000.0,66941559.0,66941559.0
102 Dalmatians,Ioan Gruffudd,4,BV,1973-10-06,1.0,2000-11-22,85000000.0,66941559.0,66941559.0
10th & Wolf,Giovanni Ribisi,25,Think,1974-12-17,1.0,2006-08-18,8000000.0,54702.0,143782.0
10th & Wolf,James Marsden,29,Think,1973-09-18,1.0,2006-08-18,8000000.0,54702.0,143782.0
10th & Wolf,Piper Perabo,14,Think,1976-10-31,0.0,2006-08-18,8000000.0,54702.0,143782.0
10th & Wolf,Val Kilmer,32,Think,1959-12-31,1.0,2006-08-18,8000000.0,54702.0,143782.0
12 Rounds,John Cena,4,Fox,1977-04-23,1.0,2009-03-27,20000000.0,12234694.0,17306648.0
12 Years a Slave,Benedict Cumberbatch,8,FoxS,1976-07-19,1.0,2013-10-18,20000000.0,56671993.0,181025343.0
12 Years a Slave,Brad Pitt,28,FoxS,1963-12-18,1.0,2013-10-18,20000000.0,56671993.0,181025343.0
12 Years a Slave,Chiwetel Ejiofor,6,FoxS,1977-07-10,1.0,2013-10-18,20000000.0,56671993.0,181025343.0
12 Years a Slave,Lupita Nyong'o,3,FoxS,1983-03-01,0.0,2013-10-18,20000000.0,56671993.0,181025343.0
12 Years a Slave,Michael Fassbender,6,FoxS,1977-04-02,1.0,2013-10-18,20000000.0,56671993.0,181025343.0
12 Years a Slave,Michael K. Williams,4,FoxS,1966-11-22,1.0,2013-10-18,20000000.0,56671993.0,181025343.0
12 Years a Slave,Paul Dano,7,FoxS,1984-06-19,1.0,2013-10-18,20000000.0,56671993.0,181025343.0
